Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
14;2014;1378;Newton, Cam;QB;car;a;nor;35.34;6700
14;2014;1301;Ryan, Matt;QB;atl;a;gnb;35.3;7000
14;2014;1232;Roethlisberger, Ben;QB;pit;a;cin;30.9;8200
14;2014;1252;Rodgers, Aaron;QB;gnb;h;atl;30.88;9800
14;2014;1263;Cutler, Jay;QB;chi;h;dal;30.54;7200
14;2014;1403;Dalton, Andy;QB;cin;h;pit;30.28;6000
14;2014;1412;Wilson, Russell;QB;sea;a;phi;29.32;7700
14;2014;1340;Stafford, Matthew;QB;det;h;tam;27.24;7900
14;2014;1409;Luck, Andrew;QB;ind;a;cle;26.46;9700
14;2014;1302;Flacco, Joe;QB;bal;a;mia;25.36;6600
14;2014;1250;Orton, Kyle;QB;buf;a;den;25.3;5600
14;2014;1131;Brady, Tom;QB;nwe;a;sdg;23.38;8500
14;2014;1439;Bridgewater, Teddy;QB;min;h;nyj;23.06;5500
14;2014;1441;Carr, Derek;QB;oak;h;sfo;22.36;5000
14;2014;1233;Romo, Tony;QB;dal;a;chi;20;7500
14;2014;1254;Smith, Alex;QB;kan;a;ari;17.32;5700
14;2014;1290;Stanton, Drew;QB;ari;h;kan;17.26;5200
14;2014;1426;Smith, Geno;QB;nyj;a;min;16.46;5200
14;2014;1213;Hill, Shaun;QB;stl;a;was;16.42;5500
14;2014;1175;McCown, Josh;QB;tam;a;det;15.8;5500
14;2014;1410;Tannehill, Ryan;QB;mia;h;bal;13.68;7300
14;2014;1225;Manning, Eli;QB;nyg;a;ten;13.4;6900
14;2014;1242;Fitzpatrick, Ryan;QB;hou;a;jac;13.3;6400
14;2014;1151;Brees, Drew;QB;nor;h;car;13;9100
14;2014;1442;Bortles, Blake;QB;jac;h;hou;12.2;5600
14;2014;1404;Kaepernick, Colin;QB;sfo;a;oak;11.56;6500
14;2014;1339;Sanchez, Mark;QB;phi;h;sea;11.54;6300
14;2014;1231;Rivers, Philip;QB;sdg;h;nwe;11.36;6800
14;2014;1361;McCoy, Colt;QB;was;h;stl;7.06;6000
14;2014;1382;Locker, Jake;QB;ten;h;nyg;5.04;5400
14;2014;1081;Manning, Peyton;QB;den;h;buf;4.72;9300
14;2014;1336;Hoyer, Brian;QB;cle;h;ind;3.9;5200
14;2014;1440;Mettenberger, Zach;QB;ten;h;nyg;2.9;5600
14;2014;1408;Griffin III, Robert;QB;was;h;stl;1.32;5000
14;2014;1240;Campbell, Jason;QB;cin;h;pit;0.1;5000
14;2014;1260;Jackson, Tarvaris;QB;sea;a;phi;0;5000
14;2014;1234;Schaub, Matt;QB;oak;h;sfo;0;5000
